Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Disc_D3.8mm_W2.6mm_P2.50mm,4,100nF,
D1,LED_D3.0mm_Oval,1,C64,
D10,LED_D3.0mm_Oval,1,AMIGA,
D2,LED_D3.0mm_Oval,1,RIGHT,
D3,LED_D3.0mm_Oval,1,UP,
D4,LED_D3.0mm_Oval,1,DOWN,
D5,LED_D3.0mm_Oval,1,FIRE1,
D6,LED_D3.0mm_Oval,1,STATUS,
D7,LED_D3.0mm_Oval,1,LEFT,
D8,LED_D3.0mm_Oval,1,FIRE2,
D9,LED_D3.0mm_Oval,1,FIRE3,
J1,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB9_Male,
J2,USB_B_Lumberg_2411_02_Horizontal_Oval_Versatile,1,USB_B,
J3,GCT_USB4125-GF-A,1,USB_C_Receptacle_PowerOnly_6P,
J4,UBM5BRDM144DLFSNL,1,USB_B_Mini,
J5,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_Oval,10,RxΩ,
"R11, R12, R13",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_Oval,3,R10KΩ,
"R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_Oval,2,R5K1Ω,
SW1,E-Switch-EG1218-Manufacturer_Recommended_Oval,1,C64MODESW,
SW2,E-Switch-EG1218-Manufacturer_Recommended_Oval,1,POWER,
SW3,100SP1T1B4M2QE,1,POWER,
U1,DIP-14_W7.62mm_Socket_LongPads,1,4070,
U2,DIP-14_W7.62mm_Socket_LongPads,1,74HC86,
