Designator,Mid X,Mid Y,Rotation,Layer
C1,192.75,-107.25,90.0,top
C2,169.0,-91.2,180.0,top
C3,203.32,-106.1,0.0,top
C4,223.93,-118.2,180.0,top
D1,183.995,-41.0,0.0,top
D10,183.995,-81.0,0.0,top
D2,223.995,-61.0,0.0,top
D3,203.995,-41.0,0.0,top
D4,203.995,-81.0,0.0,top
D5,203.995,-61.0,0.0,top
D6,223.995,-81.0,0.0,top
D7,183.995,-61.0,0.0,top
D8,213.995,-51.0,0.0,top
D9,223.995,-41.0,0.0,top
J1,213.54,-127.82,0.0,top
J2,185.0,-126.9325,270.0,top
J3,167.4,-81.48,270.0,top
J4,193.98,-42.805,180.0,top
J5,213.94,-39.79,180.0,top
R1,206.0,-93.92,90.0,top
R10,203.0,-93.92,90.0,top
R11,233.0,-93.92,90.0,top
R12,236.0,-93.92,90.0,top
R13,239.0,-93.92,90.0,top
R14,175.5,-66.58,270.0,top
R15,172.5,-66.58,270.0,top
R2,221.0,-93.92,90.0,top
R3,212.0,-93.92,90.0,top
R4,215.0,-93.92,90.0,top
R5,218.0,-93.92,90.0,top
R6,224.0,-93.92,90.0,top
R7,209.0,-93.92,90.0,top
R8,227.0,-93.92,90.0,top
R9,230.0,-93.92,90.0,top
SW1,239.0,-112.5,90.0,top
SW2,169.3,-109.7,90.0,top
SW3,179.0,-109.7,90.0,top
U1,217.56,-108.81,270.0,top
U2,185.28,-95.01,90.0,top
